==================================================
=== 积分计算结果 ===
==================================================
计算时间: 667.93分钟
积分结果: -0.00019470 ± 0.00111406
相对误差: 572.2072%
Q值: 0.6586

详细信息:
itn   integral        average          chi2/dof        Q
152   0.009(16)       0.0004(13)           0.94     0.67
153   -0.021(16)      0.0002(13)           0.95     0.65
154   -0.028(16)      0.00006(127)         0.97     0.61
155   -0.006(16)      0.00003(127)         0.96     0.63
156   0.003(16)       0.00004(126)         0.95     0.65
157   0.032(16)       0.0002(13)           0.97     0.58
158   0.002(16)       0.0003(13)           0.97     0.60
159   -0.014(16)      0.0002(13)           0.97     0.60
160   0.008(16)       0.0002(12)           0.96     0.62
161   -0.015(16)      0.0001(12)           0.96     0.62
162   0.027(16)       0.0003(12)           0.97     0.58
163   -0.029(16)      0.0001(12)           0.99     0.52
164   -0.004(16)      0.00009(123)         0.98     0.54
165   0.022(16)       0.0002(12)           0.99     0.53
166   0.001(16)       0.0002(12)           0.98     0.55
167   0.013(16)       0.0003(12)           0.98     0.56
168   -0.012(16)      0.0002(12)           0.98     0.56
169   -0.002(16)      0.0002(12)           0.97     0.59
170   0.024(16)       0.0004(12)           0.98     0.56
171   0.007(16)       0.0004(12)           0.98     0.58
172   -0.004(16)      0.0004(12)           0.97     0.60
173   -0.012(16)      0.0003(12)           0.97     0.60
174   -0.002(16)      0.0003(12)           0.96     0.62
175   0.003(16)       0.0003(12)           0.96     0.64
176   -0.022(16)      0.0002(12)           0.96     0.62
177   0.002(16)       0.0002(12)           0.96     0.64
178   0.007(16)       0.0002(12)           0.95     0.66
179   -0.003(16)      0.0002(12)           0.95     0.68
180   -0.023(16)      0.00006(117)         0.96     0.65
181   -0.024(16)      -0.00007(117)        0.96     0.63
182   0.014(16)       0.000009(1168)       0.96     0.63
183   -0.025(16)      -0.0001(12)          0.97     0.60
184   -0.035(16)      -0.0003(12)          0.99     0.52
185   0.008(16)       -0.0003(12)          0.99     0.53
186   0.005(16)       -0.0002(12)          0.98     0.55
187   -0.007(16)      -0.0003(12)          0.98     0.57
188   -0.027(16)      -0.0004(11)          0.99     0.53
189   0.005(16)       -0.0004(11)          0.98     0.55
190   0.008(16)       -0.0003(11)          0.98     0.56
191   0.009(16)       -0.0003(11)          0.98     0.57
192   0.020(16)       -0.0002(11)          0.98     0.56
193   0.017(16)       -0.0001(11)          0.98     0.55
194   -0.004(16)      -0.0001(11)          0.98     0.57
195   -0.012(16)      -0.0002(11)          0.98     0.58
196   -0.001(16)      -0.0002(11)          0.97     0.60
197   0.004(16)       -0.0002(11)          0.97     0.62
198   0.006(16)       -0.0001(11)          0.96     0.64
199   -0.014(16)      -0.0002(11)          0.96     0.64
200   0.002(16)       -0.0002(11)          0.96     0.66

==================================================
