==================================================
=== 积分计算结果 ===
==================================================
计算时间: 1307.99分钟
积分结果: -0.00029252 ± 0.00052293
相对误差: 178.7681%
Q值: 0.9844

详细信息:
itn   integral        wgt average     chi2/dof        Q
271   -0.003(10)      -0.00066(64)        0.87     0.94
272   0.006(10)       -0.00063(63)        0.87     0.95
273   0.004(10)       -0.00062(63)        0.86     0.95
274   0.018(10)       -0.00055(63)        0.87     0.94
275   -0.017(10)      -0.00061(63)        0.88     0.93
276   -0.002(10)      -0.00061(63)        0.88     0.93
277   0.0007(104)     -0.00061(63)        0.87     0.94
278   -0.003(10)      -0.00062(63)        0.87     0.94
279   0.005(10)       -0.00060(63)        0.87     0.95
280   0.005(10)       -0.00057(63)        0.87     0.95
281   -0.015(10)      -0.00062(62)        0.87     0.95
282   -0.007(10)      -0.00065(62)        0.87     0.95
283   0.014(10)       -0.00060(62)        0.87     0.94
284   0.009(10)       -0.00056(62)        0.87     0.94
285   0.008(16)       -0.00055(62)        0.87     0.95
286   -0.016(11)      -0.00060(62)        0.87     0.94
287   -0.003(11)      -0.00061(62)        0.87     0.94
288   -0.002(10)      -0.00062(62)        0.87     0.95
289   -0.005(10)      -0.00063(62)        0.86     0.95
290   0.003(10)       -0.00062(61)        0.86     0.96
291   0.0005(105)     -0.00062(61)        0.86     0.96
292   0.027(10)       -0.00052(61)        0.88     0.93
293   -0.007(10)      -0.00054(61)        0.88     0.93
294   -0.008(10)      -0.00057(61)        0.88     0.94
295   -0.012(10)      -0.00061(61)        0.88     0.94
296   0.027(10)       -0.00051(61)        0.90     0.90
297   0.001(10)       -0.00051(61)        0.89     0.90
298   0.003(10)       -0.00050(61)        0.89     0.91
299   0.007(10)       -0.00047(61)        0.89     0.91
300   -0.017(10)      -0.00053(60)        0.90     0.90
301   -0.005(10)      -0.00054(60)        0.89     0.91
302   0.007(10)       -0.00051(60)        0.89     0.91
303   -0.008(10)      -0.00054(60)        0.89     0.91
304   0.004(10)       -0.00052(60)        0.89     0.92
305   0.003(10)       -0.00051(60)        0.89     0.92
306   -0.013(10)      -0.00055(60)        0.89     0.92
307   -0.0007(104)    -0.00055(60)        0.89     0.93
308   -0.006(10)      -0.00057(60)        0.88     0.93
